county_fips,county_name,state,centroid_lat,centroid_lon,eligible_population,poverty_pct,rurality_index,high_risk_index
37001,Alamance County,NC,36.043954,-79.400573,27653,13.351076,0.813338,0.265511
37003,Alexander County,NC,35.920951,-81.177467,5930,12.571775,0.939686,0.13273
37005,Alleghany County,NC,36.489356,-81.132299,2248,15.979056,0.981761,0.367809
37007,Anson County,NC,34.974972,-80.109763,3544,21.725224,0.984329,0.633073
37009,Ashe County,NC,36.443469,-81.499334,5312,13.490662,0.974645,0.23518
37011,Avery County,NC,36.07209,-81.920285,3000,10.157116,0.970887,0.294143
37013,Beaufort County,NC,35.482313,-76.842014,8658,17.820925,0.979097,0.378357
37015,Bertie County,NC,36.059043,-76.962364,3311,16.135216,0.992238,0.57504
37017,Bladen County,NC,34.591938,-78.539489,5396,21.961737,0.988037,0.505634
37019,Brunswick County,NC,34.038754,-78.227765,37505,9.232123,0.921747,0.084816
37021,Buncombe County,NC,35.609371,-82.530423,46208,11.835357,0.813252,0.264597
37023,Burke County,NC,35.746182,-81.70618,15701,15.583884,0.9245,0.269193
37025,Cabarrus County,NC,35.388346,-80.552728,32937,9.272573,0.705974,0.207127
37027,Caldwell County,NC,35.966396,-81.51254,14506,13.369044,0.925755,0.261383
37029,Camden County,NC,36.342344,-76.162488,1569,6.141805,0.982724,0.0
37031,Carteret County,NC,34.858343,-76.53586,14625,10.065732,0.941428,0.186144
37033,Caswell County,NC,36.394298,-79.339609,4054,18.615854,0.979453,0.366152
37035,Catawba County,NC,35.661883,-81.214906,27028,12.740925,0.817978,0.300558
37037,Chatham County,NC,35.704994,-79.251454,15038,11.045676,0.949896,0.093794
37039,Cherokee County,NC,35.13715,-84.061449,6336,12.363041,0.973884,0.346686
37041,Chowan County,NC,36.128979,-76.602752,2870,19.088905,0.966949,0.660441
37043,Clay County,NC,35.052997,-83.752264,2604,12.884905,0.978841,0.398476
37045,Cleveland County,NC,35.33463,-81.557114,16960,16.597812,0.904431,0.286828
37047,Columbus County,NC,34.261602,-78.639308,8622,18.182198,0.979095,0.32774
37049,Craven County,NC,35.116829,-77.08132,16368,13.699593,0.93733,0.389287
37051,Cumberland County,NC,35.050192,-78.828719,42727,16.699668,0.767354,0.428133
37053,Currituck County,NC,36.372174,-75.941224,5344,7.503043,0.950249,0.054188
37055,Dare County,NC,35.606269,-75.767536,7809,6.62141,0.958442,0.101944
37057,Davidson County,NC,35.795131,-80.207107,28950,12.847578,0.861102,0.20178
37059,Davie County,NC,35.929355,-80.542552,7822,9.39493,0.927279,0.368201
37061,Duplin County,NC,34.934403,-77.933543,7992,20.463423,0.975859,0.349725
37063,Durham County,NC,36.033828,-78.878125,46508,11.506238,0.477498,0.419725
37065,Edgecombe County,NC,35.917077,-77.602742,8748,21.732866,0.959538,0.681234
37067,Forsyth County,NC,36.132466,-80.256961,60900,14.518553,0.568545,0.382272
37069,Franklin County,NC,36.088247,-78.283082,12343,11.055345,0.93459,0.192722
37071,Gaston County,NC,35.292834,-81.177364,37062,13.518876,0.702992,0.295114
37073,Gates County,NC,36.442135,-76.702355,2008,9.405892,0.989551,0.076049
37075,Graham County,NC,35.348364,-83.830915,1399,6.696935,0.990832,0.722672
37077,Granville County,NC,36.299884,-78.657634,10121,15.175138,0.951344,0.172186
37079,Greene County,NC,35.481959,-77.681688,2916,21.046783,0.968466,0.350851
37081,Guilford County,NC,36.079065,-79.788665,81575,14.575816,0.617458,0.420338
37083,Halifax County,NC,36.251438,-77.644842,8626,22.817705,0.973439,0.605068
37085,Harnett County,NC,35.36866,-78.871665,18158,13.74531,0.897017,0.196603
37087,Haywood County,NC,35.558882,-82.981307,12089,13.12504,0.951905,0.204824
37089,Henderson County,NC,35.336427,-82.479583,22463,11.559691,0.858855,0.170366
37091,Hertford County,NC,36.363517,-76.981616,3520,22.926722,0.977763,0.515094
37093,Hoke County,NC,35.017233,-79.241964,6974,17.084424,0.940627,0.266759
37095,Hyde County,NC,35.408157,-76.153687,824,22.179586,1.0,0.76453
37097,Iredell County,NC,35.806251,-80.874524,31527,10.032898,0.847728,0.179649
37099,Jackson County,NC,35.285454,-83.123966,6767,18.005554,0.962858,0.136733
37101,Johnston County,NC,35.513419,-78.367348,34360,10.634919,0.868827,0.183975
37103,Jones County,NC,35.032268,-77.356195,1805,18.362688,0.994433,0.409015
37105,Lee County,NC,35.476336,-79.172117,10188,16.474569,0.886005,0.19782
37107,Lenoir County,NC,35.240066,-77.635514,9607,21.952258,0.940797,0.60913
37109,Lincoln County,NC,35.488491,-81.226893,16361,11.246449,0.860816,0.154799
37111,McDowell County,NC,35.682268,-82.048045,7855,14.807754,0.957061,0.377582
37113,Macon County,NC,35.152959,-83.421901,7286,11.603786,0.969927,0.372587
37115,Madison County,NC,35.864206,-82.712631,3862,12.123383,0.981283,0.248633
37117,Martin County,NC,35.847301,-77.119602,4121,20.366541,0.981834,0.565305
37119,Mecklenburg County,NC,35.246862,-80.833832,152279,10.361531,0.0,0.351262
37121,Mitchell County,NC,36.013102,-82.163554,2865,12.918726,0.97258,0.527572
37123,Montgomery County,NC,35.327548,-79.910752,4535,15.443848,0.979337,0.26618
37125,Moore County,NC,35.308273,-79.492723,17353,10.074714,0.935008,0.222291
37127,Nash County,NC,35.965945,-77.987555,16486,11.838802,0.922405,0.435005
37129,New Hanover County,NC,34.183445,-77.864204,38598,12.293758,0.446601,0.33385
37131,Northampton County,NC,36.421774,-77.398352,3514,21.106109,0.989058,0.439877
37133,Onslow County,NC,34.763109,-77.499469,20261,11.592106,0.879278,0.227572
37135,Orange County,NC,36.062525,-79.120033,21678,12.476915,0.832095,0.277951
37137,Pamlico County,NC,35.147575,-76.665268,2666,15.150992,0.986659,0.164665
37139,Pasquotank County,NC,36.265199,-76.260691,6379,11.039962,0.921517,0.339219
37141,Pender County,NC,34.512556,-77.888106,10746,9.733962,0.96918,0.147524
37143,Perquimans County,NC,36.180897,-76.403244,2670,9.828381,0.979032,0.344795
37145,Person County,NC,36.386357,-78.965633,7130,17.489612,0.957553,0.274172
37147,Pitt County,NC,35.59249,-77.372739,24002,19.838554,0.879823,0.599285
37149,Polk County,NC,35.277901,-82.167621,4392,14.010427,0.965334,0.207673
37151,Randolph County,NC,35.709915,-79.806215,23566,14.49636,0.918294,0.180545
37153,Richmond County,NC,35.004636,-79.755695,6818,25.223112,0.962737,0.737785
37155,Robeson County,NC,34.63921,-79.100881,17488,27.228705,0.94726,0.51686
37157,Rockingham County,NC,36.381806,-79.782754,16654,16.280102,0.9293,0.416764
37159,Rowan County,NC,35.641355,-80.521721,24145,15.993562,0.870116,0.400401
37161,Rutherford County,NC,35.402747,-81.919582,11737,16.750432,0.951162,0.290798
37163,Sampson County,NC,34.989298,-78.371261,9200,21.817464,0.974806,0.266449
37165,Scotland County,NC,34.840023,-79.477337,5235,25.811818,0.955521,0.74083
37167,Stanly County,NC,35.310449,-80.254374,10309,15.24688,0.928953,0.323231
37169,Stokes County,NC,36.393797,-80.269921,8668,11.166941,0.957701,0.249162
37171,Surry County,NC,36.415416,-80.686463,12314,16.817607,0.942397,0.267481
37173,Swain County,NC,35.568849,-83.465614,2462,19.107812,0.99133,0.410277
37175,Transylvania County,NC,35.210103,-82.816666,6659,13.209106,0.962895,0.251415
37177,Tyrrell County,NC,35.87042,-76.165345,531,18.708389,0.999427,0.736383
37179,Union County,NC,34.99182,-80.530426,36133,7.682656,0.822943,0.07761
37181,Vance County,NC,36.365481,-78.405434,7135,19.791021,0.927115,0.525079
37183,Wake County,NC,35.789846,-78.650624,161171,8.129155,0.360827,0.236736
37185,Warren County,NC,36.398105,-78.099899,3612,21.104863,0.983496,0.491845
37187,Washington County,NC,35.844713,-76.572291,2300,24.069479,0.989215,1.0
37189,Watauga County,NC,36.235368,-81.709888,7463,25.454882,0.923135,0.235812
37191,Wayne County,NC,35.35419,-78.00867,17888,17.334577,0.905946,0.429707
37193,Wilkes County,NC,36.208883,-81.166095,11424,16.728066,0.963605,0.345493
37195,Wilson County,NC,35.700357,-77.921598,13059,19.796154,0.90526,0.44388
37197,Yadkin County,NC,36.158765,-80.665164,6598,13.978495,0.952368,0.297333
37199,Yancey County,NC,35.889326,-82.303954,3642,15.170826,0.976051,0.255994
